 
0078-04 16/04/2025 07 706,61 P
0078-05 14/04/2025 07 6.327,06 P
0971-00 14/04/2025 07 36.866,73 P
0971-04 14/04/2025 07 24.918,15 P
2165-01 06/05/2025 F8 610,52 P
2213-00 14/04/2025 F8 25,88 
2213-00 14/04/2025 F8 45,05 P
2213-00 14/04/2025 F8 16,14 P
2213-00 28/04/2025 F8 18,45 P
2282-00 07/04/2025 07 349,94 P
2282-00 07/04/2025 07 205,74 
2817-00 14/05/2025 F8 21.366,80 P
4183-01 07/04/2025 F8 200,14 P
4183-01 07/04/2025 F8 59,69 
4183-01 22/04/2025 F8 136,98 
5262-01 14/04/2025 F8 2.107,98 
5262-01 14/04/2025 F8 752,67 P
5262-01 28/04/2025 F8 164,74 
5776-00 07/04/2025 07 552,00 
5776-00 07/04/2025 07 307,80 P
5776-00 22/04/2025 07 767,66 
5776-00 12/05/2025 07 134,92 P
5776-00 12/05/2025 07 1.078,15 
8304-00 14/04/2025 F8 1.417,32 
8304-00 14/04/2025 F8 104,68 P
8304-00 28/04/2025 F8 111,53 
9956-00 07/04/2025 07 1.722,33 P
9956-00 07/04/2025 07 217,58 
9956-00 12/05/2025 07 130,72 P
B983-00 07/04/2025 F8 225,72 
B983-00 07/04/2025 F8 208,58 P
B983-00 14/04/2025 F8 270,47 
B983-00 09/05/2025 F8 828,16 P
F379-00 07/04/2025 07 3.324,12 P
G648-00 07/04/2025 07 124,12 
G648-00 07/04/2025 07 3.020,13 P
G648-00 14/04/2025 07 129,43 
H302-00 14/04/2025 F8 7.180,23 P
H437-00 14/04/2025 07 6.466,24 P
H437-00 12/05/2025 07 233,16 P
I180-02 07/04/2025 07 1.518,99 P
I180-02 05/05/2025 07 8.518,16 P
I489-00 29/04/2025 07 310,18 P
I795-01 14/04/2025 07 534,77 
I795-01 14/04/2025 07 992,91 P
U799-00 07/04/2025 07 9.447,97 P
W112-00 14/04/2025 07 5.790,85 P
W231-00 29/04/2025 07 222,67 P
W463-00 07/04/2025 07 435,16 P
W508-00 29/04/2025 F8 105,54 P
